Stance on NN,Networking,Format,Date Received,Type of Filing,Submission Type,Proceeding ID,Filing URL,Name of Filers(s),Comment Text,Total Page Count,Source,Memo,Date in the Document,Network 1,Network 2,Network 3,Network 4,Network 5,Network 6,Network 7,Network 8,Network 9,Network 10,Network 11,Network 12,Network 13,Network 14,Network 15,Network 16,Network 17,Network 18
Anti,Network,In person,5/16/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515159467,Distributed Computing Industry Association-DCIA,Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/5515159467/1,,"May 15, 2008",Distributed Computing Industry Association,P4P Working Group,,,,,,,,,,,,,,,,
Anti,Network,In person,5/16/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515159467,Distributed Computing Industry Association-DCIA,Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/5515159467/1,,5/15/2008,Distributed Computing Industry Association,P4P Working Group,,,,,,,,,,,,,,,,
Anti,Network,In person,6/12/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515176913,Distributed Computing Industry Association-DCIA,Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/5515176913/1,,"June 11, 2008",Distributed Computing Industry Association,P4P Working Group,,,,,,,,,,,,,,,,
Anti,Network,In person,6/12/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515176913,Distributed Computing Industry Association-DCIA,Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/5515176913/1,,6/11/2008,Distributed Computing Industry Association,P4P Working Group,,,,,,,,,,,,,,,,
Anti,Network,In person,6/24/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515180288,Independent Telephone & Telecommunications Alliance,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515180288/1,,"June 23, 2008",Independent Telephone & Telecommunications Alliance,Embarq,Qwest,Windstream,,,,,,,,,,,,,,
Anti,Network,In person,7/2/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515181311,Independent Telephone & Telecommunications Alliance,Refer to Attachment(s).,8,https://www.fcc.gov/ecfs/document/5515181311/1,,"July 2, 2008",Independent Telephone & Telecommunications Alliance,Embarq,,,,,,,,,,,,,,,,
Anti,Network,In person,7/11/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515182415,National Cable & Telecommunications Association,Refer to Attachment(s).,6,https://www.fcc.gov/ecfs/document/5515182415/1,,"July 9, 2008",National Cable & Telecommunications Association,Insight Communications,,,,,,,,,,,,,,,,
Anti,Network,In person,7/24/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183735,National Cable & Telecommunications Association,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515183735/1,,"July 24, 2008",National Cable & Telecommunications Association,Bright House Networks,Charter,Time Warner,Time Warner Cable,Suddenlink,Cablevision,Cox,,,,,,,,,,
Anti,Network,In person,3/6/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515014550,Recording Industry Association of America,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515014550/1,,3/5/2008,Recording Industry Association of America,TeleMedia Policy Corp,Capital Group,,,,,,,,,,,,,,,
Anti,Network,In person,4/4/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515020859,Recording Industry Association of America,Refer to Attachment(s).,1,https://www.fcc.gov/ecfs/document/5515020859/1,,4/3/2008,Recording Industry Association of America,TeleMedia Policy Corp,,,,,,,,,,,,,,,,
Anti,Network,In person,7/25/2008,NOTICE OF EXPARTE,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515183915,Telecommunications Industry Association,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/5515183915/1,,"July 24, 2008",Telecommunications Industry Association,Nortel,Ciena,Alcatel-Lucent,Motorola,Cisco,,,,,,,,,,,,
Anti,Network,Reply Comments,2/28/2008,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515005620,Ad Hoc Telecom Manufacturer Coalition,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/5515005620/1,,2/28/2008,Ad Hoc Telecom Manufacturer Coalition,ADC Telecommunications,Enhanced Telecommunications,Sunrise Telecom,BTECH,MRV Communications,OFS Fitel,PECO II,Preformed Line Products,,,,,,,,,
Anti,Network,Reply Comments,7/16/2007,COMMENT,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514709017,The Nebraska Rural Independent Companies,Refer to Attachment(s).,19,https://www.fcc.gov/ecfs/document/5514709017/1,Nebraska Rural Independent Companies,7/16/2007,Arlington Telephone Company,Blair Telephone Company,Cambridge Telephone Company,Clarks Telecommunications,Consolidated Telco,Consolidated Telcom,Consolidated Telephone Company,Curtis Telephone Company,Eastern Nebraska Telephone Company,Great Plains Communications,Hartington Telecommunications Co.,Hershey Cooperative Telephone Co.,K. & M. Telephone Company,Nebraska Central Telephone Company,Northeast Nebraska Telephone Company,Rock County Telephone Company,Stanton Telecom Inc.,Three River Telco
Anti,Network,Reply Comments,2/28/2008,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515006476,Christian Coalition of America; CP80 Found.; Enough is Enough; Stop Child Pred.,Refer to Attachment(s).,11,https://www.fcc.gov/ecfs/document/5515006476/1,,2/28/2008,Christian Coalition of America,CP80 Foundation,Enough is Enough,Stop Child Predators,,,,,,,,,,,,,,
Anti,Network,Reply Comments,7/16/2007,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514708783,Internet Freedom Coalition,Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/5514708783/1,,,Internet Freedom Coalition,Americans for Prosperity,Institute for Liberty,,,,,,,,,,,,,,,
Anti,Network,Reply Comments,2/28/2008,REPLY TO COMMENTS,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5515006405,National Black Chamber of Commerce et al.,Refer to Attachment(s).,8,https://www.fcc.gov/ecfs/document/5515006405/1,,2/28/2008,National Black Chamber of Commerce,Labor Council for Latin American Advancement,Latinos in Information Sciences & Technology Association,League of Rural Voters,National Black Justice Coalition,National Council of Women’s Organizations,National Congress of Black Women,,,,,,,,,,,
Anti,Network,Reply to Opposition to Motion,2/26/2008,REPLY,STANDARD,07-52,https://www.fcc.gov/ecfs/search/search-filings/filing/5514994565,The Progress & Freedom Foundation,Refer to Attachment(s).,4,https://www.fcc.gov/ecfs/document/5514994565/1,,"February 26, 2008",Progress & Freedom Foundation,Institute for Policy Innovation,,,,,,,,,,,,,,,,
