Stance on NN,,format,Date Received,Type of Filing,Submission Type,Proceeding ID,Filing URL,Name of Filers(s),Comment Text,Total Page Count,Source,Memo,Date in the Document,Network 1,Network 2,Network 3,Network 4,Network 5,Network 6,Network 7,Network 8,Network 9,Network 10,Network 11,Network 12,Network 13,Network 14,Network 15,Network 16,Network 17,Network 18,Network 19,Network 20,Network 21,Network 22,Network 23,Network 24,Network 25,Network 26,Network 27,Network 28,Network 29,Network 30,Network 31,Network 32,Network 33,Network 34,Network 35,Network 36,Network 37,Network 38,Network 39,Network 40,Network 41,Network 42,Network 43,Network 44,Network 45,Network 46,Network 47,Network 48,Network 49,Network 50,Network 51,Network 52,Network 53,Network 54,Network 55,Network 56,Network 57,Network 58,Network 59,Network 60,Network 61,Network 62,Network 63,Network 64,Network 65,Network 66,Network 67,Network 68,Network 69,Network 70,Network 71,Network 72,Network 73,Network 74,Network 75,Network 76,Network 77,Network 78,Network 79,Network 80,Network 81,Network 82,Network 83,Network 84,Network 85,Network 86,Network 87,Network 88,Network 89,Network 90,Network 91,Network 92
Pro,Network,Comment,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015525346,Free Press,Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/6015525346/1,,1/14/2010,Free Press,Association for Women's Rights in Development,Feminist Majority,Feminist Peace Network,International Museum of Women,Media Equity Collaborative,MomsRising,National Organization for Women,SisterSong Women of Color Reproductive Justice Collective,What About Our Daughters?,"Women, Action & Media!",Women News Network – WNN,Women Who Tech,Women’s Action for New Directions,Women’s Media Center,Women’s Institute for Freedom of the Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comment,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015527361,Free Press,Refer to Attachment(s).,3,https://www.fcc.gov/ecfs/document/6015527361/1,,1/14/2010,Free Press,Afro-Netizen,Applied Research Center,Boston Youth Organizing Project,Center for Community Change,"Clergy Strategic Alliances, LLC",ColorOfChange,Community Change,Ella Baker Center for Human Rights,Federation of Child Care Centers of Alabama,Hip Hop Media Lab,Mexican American Advancement Project,Minnesota Immigrant Freedom Network,Minnesota JOBS NOW Coalition,National Association of Hispanic Journalists,National Association of Latino Independent Producers,National Federation of Community Broadcasters,Praxis Project,Presente,Press Pass TV,Progressive National Baptist Convention,Reflect & Strengthen Women’s Empowerment Collective,"Strategic Solutions International, Inc. - Centro Latino de Carreras Profesionales",Greenlining Institute,The Iron Beast,5th Element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti,Network,Comment,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015527620,"Verizon, Google",Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/6015527620/1,,1/14/2010,Verizon,Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015523396,Public Interest Advocates,Refer to Attachment(s).,10,https://www.fcc.gov/ecfs/document/6015523396/1,Public Interest Advocates,1/14/2010,Access Humboldt,Alliance for Community Media,Appalshop,Benton Foundation,California Center for Rural Policy,CCTV Center for Media & Democracy,Center for Digital Democracy,Center for Media Justice,Center for Rural Strategies,Common Cause,Community Papers of Florida,Community Papers of Ohio And West Virginia,Esperanza Center for Peace & Justice,Florida Public Interest Research Group,Free Community Papers of New York,Housing Assistance Council,Institute for Local Self Reliance,Local 782,Main Street Project,Media Alliance,Media Justice League,Media Literacy Project,Media Mobilizing Project,Mid-Atlantic Community Papers Association,Midwest Free Community Papers,Minnesota Digital Justice Coalition,New America Foundation,People Escaping Poverty Project,People's Production House,Philly Community Access Media,Prometheus Radio Project,Public Knowledge,Reclaim the Media,Southeastern Advertising Publishers Association,Transmission Project,United Church of Christ OC,U.S. Public Interest Research Group,Wisconsin Community Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015524306,Daniel John McCartney,Refer to Attachment(s).,31,https://www.fcc.gov/ecfs/document/6015524306/1,,1/14/2010,"Adam Candeub, Michigan State University College of Law","Daniel John McCartney, Michigan State University College of Law",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015527236,Independent Creator Organizations,Refer to Attachment(s).,7,https://www.fcc.gov/ecfs/document/6015527236/1,,1/14/2010,American Composers Forum,American Music Center,Center for Creative Voices in Media,Film Independent,Fractured Atlas,Future of Music Coalition,International Documentary Association,International Music Manager’s Forum,Just Plain Folks,Meet the Composer,Nacional Records,National Alliance for Media Arts + Culture,Writers Guild of America West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015524656,"AFTRA, DGA, IATSE, SAG",Refer to Attachment(s).,27,https://www.fcc.gov/ecfs/document/6015524656/1,,1/14/2010,American Federation of Television & Radio Artists,Directors Guild of America,International Alliance of Theatrical Stage Employees,Screen Actors Guild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,10/12/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6016058220,"AFTRA, DGA, IATSE, SAG",Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/6016058220/1,,10/12/2010,American Federation of Television & Radio Artists,Directors Guild of America,International Alliance of Theatrical Stage Employees,Screen Actors Guild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,10/12/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6016058320,"ALA, ARL and EDUCAUSE",Refer to Attachment(s).,12,https://www.fcc.gov/ecfs/document/6016058320/1,,10/12/2010,American Library Association,Association of Research Libraries,EDUCAUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015524216,"Association of Research Libraries, EDUCAUSE, Internet2, NYSERNet, and ACUTA",Refer to Attachment(s).,6,https://www.fcc.gov/ecfs/document/6015524216/1,,1/14/2010,Association of Research Libraries,EDUCAUSE,Internet2,NYSERNet,Association for Information Communications Technology Professionals in Higher Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,10/12/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6016058366,"Benton Foundation, Center for Media Justice, Consumers Union, Media Access Proje",Refer to Attachment(s).,23,https://www.fcc.gov/ecfs/document/6016058366/1,,10/12/2010,Consumers Union,Benton Foundation,Center for Media Justice,Media Access Project,New America Foundation,Public Knowledge,Sascha Meinrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,10/12/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6016058317,"Latinos for Internet Freedom, Media Action Grassroots Network, National Hispanic",Refer to Attachment(s).,16,https://www.fcc.gov/ecfs/document/6016058317/1,,10/12/2010,Latinos for Internet Freedom,Media Action Grassroots Network,Access Humboldt,Center for Community Change,Center for Media Justice,Center for Rural Strategies,Chicago Media Action,Esperanza Center for Peace & Justice,Free Press,Main Street Project,Media Justice League,Media Literacy Project,Media Mobilizing Project,MN Center for Neighborhood Organizing,National Association of Latino Farmers & Ranchers,National Hispanic Media Coalition,National Network for Immigrant & Refugee Rights,National Radio Project,New York Community Media Alliance,Open Access Connections,People's Press Project,People Organizing to Demand Environmental & Economic Rights,Presente,Progressive Technology Project,Reclaim the Media,Rural Coalition,Thousand Kites,Twitteros,Voz Mob/IDEPSCA,Waite House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015523346,"Media Action Grassroots Network, et al.",Refer to Attachment(s).,20,https://www.fcc.gov/ecfs/document/6015523346/1,,1/14/2010,Media Action Grassroots Network,ColorOfChange,Presente,Applied Research Center,Afro-Netizen,National Association of Hispanic Journalists,Native Public Media,Rural Broadband Policy Group,Media Access Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015523738,NATOA,Refer to Attachment(s).,80,https://www.fcc.gov/ecfs/document/6015523738/1,,1/14/2010,National Association of Telecommunications Officers & Advisors,Benton Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015524123,New America Foundation,Refer to Attachment(s).,60,https://www.fcc.gov/ecfs/document/6015524123/1,,1/14/2010,New America Foundation,Columbia Telecommunications Corporation,Consumers Union,Media Access Project,Public Knowledge,Sascha Meinrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015527659,Public Knowledge et al.,Refer to Attachment(s).,86,https://www.fcc.gov/ecfs/document/6015527659/1,,1/14/2010,Public Knowledge,Center for Media Justice,Consumers Union,Media Access Project,New America Foundation,Robb Topolski,Sascha Meinrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro (Middle?),Network,Comments,10/12/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6016058127,Professor Scott Jordan,Refer to Attachment(s).,23,https://www.fcc.gov/ecfs/document/6016058127/1,,10/12/2010,"Scott Jordan, Computer Science, University of California, Irvine","Gwen Shaffer, Computer Science, University of California, Irvine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro,Network,Comments,1/14/2010,"ERRATA, ERRATUM OR ADDENDUM",STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015523184,"Computer Communications Industry Association, Consumer Electronics Association,",Refer to Attachment(s).,9,https://www.fcc.gov/ecfs/document/6015523184/2,,1/14/2010,Computer & Communications Industry Association,Consumer Electronics Association,Electronic Frontier Foundation,Home Recording Rights Coalition,Public Knowledge,NetCoalition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015521948,Sylvia Aguilera,Refer to Attachment(s).,6,https://www.fcc.gov/ecfs/document/6015521948/1,100 Black Men of America,1/14/2010,100 Black Men,Asian Pacific American Institute for Congressional Studies,Asian Pacific American Legal Center,ASPIRA,Black College Communication Association,Black Leadership Forum,Dominican American National Roundtable,Hispanic Institute,Hispanic Technology & Telecommunications Partnership,Japanese American Citizens League,Latinos in Information Sciences & Technology Association,Labor Council for Latin American Advancement,Leadership Education for Asian Pacifics,League of United Latin American Citizens,MANA - A National Latina Organization,National Association for the Advancement of Colored People,National Association of Neighborhoods,National Coalition on Black Civic Participation,National Disability Institute,National Korean American Service & Education Consortium,National Puerto Rican Coalition,Organization of Chinese Americans,US Hispanic Leadership Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015524656,"AFTRA, DGA, IATSE, SAG",Refer to Attachment(s).,27,https://www.fcc.gov/ecfs/document/6015524656/1,,1/14/2010,American Federation of Television & Radio Artists,International Alliance of Theatrical Stage Employees,Directors Guild of America,Screen Actors Guild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti,Network,Comments,10/12/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6016058220,"AFTRA, DGA, IATSE, SAG",Refer to Attachment(s).,2,https://www.fcc.gov/ecfs/document/6016058220/1,,10/12/2010,American Federation of Television & Radio Artists,International Alliance of Theatrical Stage Employees,Directors Guild of America,Screen Actors Guild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015521691,American Legislative Exchange Council,Refer to Attachment(s).,5,https://www.fcc.gov/ecfs/document/6015521691/1,,1/14/2010,American Legislative Exchange Council,"Rep. William A. Hamzy, Connecticut House of Representatives","Rep. Susan M. Lynn, Tennessee House of Representatives","Rep. Tom Craddick, Texas House of Representatives","Rep. John Adams, Ohio House of Representatives","Rep. Dwayne Alons, Iowa House of Delegates","Rep. Liston Barfield, South Carolina House of Representatives","Delegate Gail Bates, Maryland House of Delegates","Rep. Terry Boose, Ohio House of Representatives","Senator Tom Buford, Kentucky Senate","Rep. Danny Bubp, Ohio House of Representatives","President Robert Burns, Arizona Senate","Rep. Woody Burton, Indiana House of Representatives","Senator John A. Carey, Jr., Ohio Senate","Speaker Pro Tempore Harry F. Cato, South Carolina House of Representatives",Rep. George Cleveland North Carolina House of Representatives,"Rep. Jim Clark, Idaho House of Representatives","Rep. Jenn Coffey, New Hampshire House of Representatives","Rep. Gary Daniels, New Hampshire House of Representatives","Rep. Betty De Boef, Iowa House of Representatives","Senator Jerome Delvin, Washington Senate","Rep. Timothy Derickson, Ohio House of Representatives","Delegate Adelaide Eckardt, Maryland House of Delegates","Rep. Ed Emery, Missouri House of Representatives","Rep. Jane English, Arkansas House of Representatives","Rep. John Evans, Pennsylvania House of Representative","Rep. Dolores Gresham, Tennessee House of Representatives","Senator Tom Hansen, South Dakota Senate","Rep. Mike Harmon, Kentucky House of Representatives","Rep. Calvin Hill Georgia, House of Representatives","Senator Judson Hill, Georgia Senate","Rep. Mitch Holmes, Kansas House of Representatives","Rep. Charlie Howard, Texas House of Representatives","Speaker William J. Howell, Virginia House of Delegates","Rep. John E. Huffman, Oregon House of Representatives","Rep. Matt Huffman, Ohio House of Representatives","Rep. Peter S. Illoway, Wyoming House of Representatives","Senator Verdell Jackson, Montana Senate","Senator David Johnson, Iowa Senate","Senator Owen H. Johnson, New York Senate","Rep. Timothy W. Jones, Missouri House of Representatives","Rep. Kris Jordan, Ohio House of Representatives","Rep. Jim Kasper, North Dakota House of Representatives","Rep. Eric A. Koch, Indiana House of Representatives","Rep. Renée Kosel, Illinois House of Representatives","Rep. Brian Langley, Maine State House of Representatives","Rep. Debbie Lesko, Arizona House of Representatives","Senator Bob Letourneau, New Hampshire Senate","Rep. Tom Lockhart, Wyoming House of Representatives","Rep. Jerry Madden, Texas House of Representatives","Rep. W.T. Mayhall, Jr. Mississippi, House of Representatives",Rep. Steve K. McDaniel Tennessee House of Representatives,"Senator Michael A. McLachlan, Connecticut Senate","Rep. Joe McLeland, Kansas House of Representatives","Delegate Jonathan Miller, West Virginia House of Delegates","Rep. Mike Miller, Montana House of Representatives","Rep. Phil Montgomery, Wisconsin House of Representatives","Rep. Dave Murzin, Florida House of Representatives","Senator David Nething, North Dakota","Rep. David Novstrup, South Dakota House of Representatives","Senator Ralph Okerlund, Utah Senate","Rep. Betty Olson, South Dakota House of Representatives","Rep. Don L. Parsons, Georgia House of Representatives","Rep. Bryan Pedersen, Wyoming House of Representatives","Rep. Ron Peters, Oklahoma House of Representatives","Rep. Kenneth D. Peterson, Montana House of Representatives","Senator Mary Pilcher Cook, Kansas Senate","Senator William Raggio, Nevada Senate","Rep. Tom Rice, Georgia House of Representatives","Senator Dale E. Risinger, Illinois Senate","Senator Chip Rogers, Georgia Senate","Barbara R. Sears, Ohio House of Representatives","Senator Bill Seitz, Ohio Senate","Senator William Sharer, New Mexico Senate","Rep. Bob Skarphol, North Dakota House of Representatives","Rep. Cary Smith, Montana House of Representatives","Rep. Todd Snitchler, Ohio House of Representatives","Rep. Gary V. Staples, Mississippi House of Representatives","Rep. Fred Steen, North Carolina House of Representatives","Rep. Gerald Stebelton, Ohio House of Representatives","Senator Val Stevens, Washington Senate","Rep. Blair Thoreson, North Dakota House of Representatives","Rep. Curry Todd, Tennessee House of Representatives","Rep. Vicki Truitt, Texas House of Representatives","Rep. Joseph W. Uecker, Ohio House of Representatives","Rep. Moe Villeneuve, New Hampshire House of Representatives","President Michael Waddoups, Utah Senate","Rep. Sue Wallis, Wyoming House of Representatives","Rep. Lynn Watchmann, Ohio House of Representatives","Senator Carol Weston, Maine Senate","Senator Kevin Witkos, Connecticut Senate",Rep. John Wood Florida House of Representative
Anti,Network,Comments,11/4/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6016060912,"MegaPath, Inc. and Covad Communications Company",Refer to Attachment(s).,15,https://www.fcc.gov/ecfs/document/6016060912/1,,11/4/2010,Covad Communications,MegaPath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015527707,George Ou,Refer to Attachment(s).,16,https://www.fcc.gov/ecfs/document/6015527707/1,George Ou,1/14/2010,Digital Society,George Ou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti,Network,Comments,10/12/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6016058280,Hance Haney,Refer to Attachment(s).,6,https://www.fcc.gov/ecfs/document/6016058280/1,,10/12/2010,Discovery Institute,"Hance Haney, Discovery Institute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015523898,Fiber-to-the-Home Council,Refer to Attachment(s).,61,https://www.fcc.gov/ecfs/document/6015523898/1,,1/14/2010,Fiber-to-the-Home Council,Jackson Energy Authority,Toledo Telephone Company,GVTC Communications,Hiawatha Broadband,EATEL,Sunflower Broadband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti,Network,Comments,1/14/2010,COMMENT,STANDARD,09-191,https://www.fcc.gov/ecfs/search/search-filings/filing/6015527255,Wayne Brough,Refer to Attachment(s).,14,https://www.fcc.gov/ecfs/document/6015527255/1,,1/14/2010,FreedomWorks,Heritage Foundation,Discovery Institute,Competitive Enterprise Institute,Heartland Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
